Tidal Elevation Constituents,,,,
Columns,,,,
Constituent,Longitude,Latitude,Amplitude (m),Phase (deg GMT)
O1:,-124.92118,48.663193,0.249644,232.161822
P1:,-124.92118,48.663193,0.12637,244.15635
Q1:,-124.92118,48.663193,0.043945,222.258274
K1:,-124.92118,48.663193,0.396489,248.631745
K2:,-124.92118,48.663193,0.064892,255.278923
N2:,-124.92118,48.663193,0.176288,212.147981
M2:,-124.92118,48.663193,0.841152,236.102769
S2:,-124.92118,48.663193,0.246599,264.228713
O1:,-124.92452,48.667164,0.249329,232.212634
P1:,-124.92452,48.667164,0.126149,244.204658
Q1:,-124.92452,48.667164,0.043888,222.301314
K1:,-124.92452,48.667164,0.395776,248.684917
K2:,-124.92452,48.667164,0.064928,255.25068
N2:,-124.92452,48.667164,0.176384,212.071951
M2:,-124.92452,48.667164,0.841762,236.030481
S2:,-124.92452,48.667164,0.246773,264.169561
O1:,-124.927864,48.671135,0.249033,232.264163
P1:,-124.927864,48.671135,0.125934,244.25756
Q1:,-124.927864,48.671135,0.04383,222.344205
K1:,-124.927864,48.671135,0.395085,248.742195
K2:,-124.927864,48.671135,0.064962,255.220252
N2:,-124.927864,48.671135,0.176477,211.997243
M2:,-124.927864,48.671135,0.842345,235.959426
S2:,-124.927864,48.671135,0.246936,264.111038
O1:,-124.931206,48.675106,0.24872,232.324309
P1:,-124.931206,48.675106,0.125699,244.316119
Q1:,-124.931206,48.675106,0.04377,222.394436
K1:,-124.931206,48.675106,0.394336,248.80455
K2:,-124.931206,48.675106,0.064998,255.186418
N2:,-124.931206,48.675106,0.17657,211.922473
M2:,-124.931206,48.675106,0.842924,235.888154
S2:,-124.931206,48.675106,0.247101,264.051933
O1:,-124.93455,48.679077,0.248425,232.386647
P1:,-124.93455,48.679077,0.12547,244.377895
Q1:,-124.93455,48.679077,0.043714,222.446265
K1:,-124.93455,48.679077,0.393605,248.869916
K2:,-124.93455,48.679077,0.065035,255.151212
N2:,-124.93455,48.679077,0.176663,211.847955
M2:,-124.93455,48.679077,0.843506,235.817169
S2:,-124.93455,48.679077,0.247267,263.992913
O1:,-124.9379,48.68305,0.248233,232.442943
P1:,-124.9379,48.68305,0.1253,244.442907
Q1:,-124.9379,48.68305,0.043677,222.491841
K1:,-124.9379,48.68305,0.393056,248.938649
K2:,-124.9379,48.68305,0.065071,255.116155
N2:,-124.9379,48.68305,0.176761,211.774468
M2:,-124.9379,48.68305,0.844104,235.747583
S2:,-124.9379,48.68305,0.247437,263.935121
O1:,-124.94124,48.687016,0.24804,232.501445
P1:,-124.94124,48.687016,0.125128,244.509959
Q1:,-124.94124,48.687016,0.043639,222.539385
K1:,-124.94124,48.687016,0.392499,249.009409
K2:,-124.94124,48.687016,0.065106,255.080727
N2:,-124.94124,48.687016,0.176857,211.701135
M2:,-124.94124,48.687016,0.844697,235.678121
S2:,-124.94124,48.687016,0.247606,263.877374
O1:,-124.94458,48.690987,0.247832,232.593197
P1:,-124.94458,48.690987,0.124909,244.606496
Q1:,-124.94458,48.690987,0.0436,222.616375
K1:,-124.94458,48.690987,0.391795,249.109314
K2:,-124.94458,48.690987,0.065145,255.037933
N2:,-124.94458,48.690987,0.176941,211.626732
M2:,-124.94458,48.690987,0.845232,235.607081
S2:,-124.94458,48.690987,0.247759,263.817464
O1:,-124.94792,48.694958,0.247624,232.685105
P1:,-124.94792,48.694958,0.124691,244.703371
Q1:,-124.94792,48.694958,0.043561,222.693503
K1:,-124.94792,48.694958,0.391092,249.209579
K2:,-124.94792,48.694958,0.065185,254.995191
N2:,-124.94792,48.694958,0.177026,211.5524
M2:,-124.94792,48.694958,0.845767,235.536131
S2:,-124.94792,48.694958,0.247912,263.757627
