Tidal Elevation Constituents,,,,
Columns,,,,
Constituent,Longitude,Latitude,Amplitude (m),Phase (deg GMT)
O1:,-124.92285,48.665176,0.249486,232.187132
P1:,-124.92285,48.665176,0.12626,244.180212
Q1:,-124.92285,48.665176,0.043916,222.279745
K1:,-124.92285,48.665176,0.396131,248.658057
K2:,-124.92285,48.665176,0.06491,255.264912
N2:,-124.92285,48.665176,0.176336,212.109936
M2:,-124.92285,48.665176,0.841458,236.066598
S2:,-124.92285,48.665176,0.246686,264.199133
O1:,-124.92619,48.669147,0.249181,232.23835
P1:,-124.92619,48.669147,0.126042,244.231052
Q1:,-124.92619,48.669147,0.043859,222.322717
K1:,-124.92619,48.669147,0.395431,248.713494
K2:,-124.92619,48.669147,0.064945,255.235481
N2:,-124.92619,48.669147,0.176431,212.034634
M2:,-124.92619,48.669147,0.842053,235.994986
S2:,-124.92619,48.669147,0.246854,264.140326
O1:,-124.929535,48.67312,0.24888,232.29244
P1:,-124.929535,48.67312,0.125821,244.285664
Q1:,-124.929535,48.67312,0.0438,222.367791
K1:,-124.929535,48.67312,0.394723,248.77232
K2:,-124.929535,48.67312,0.064979,255.204052
N2:,-124.929535,48.67312,0.176523,211.959887
M2:,-124.929535,48.67312,0.842636,235.923853
S2:,-124.929535,48.67312,0.247018,264.081621
O1:,-124.93288,48.67709,0.24856,232.356157
P1:,-124.93288,48.67709,0.125577,244.346547
Q1:,-124.93288,48.67709,0.04374,222.421056
K1:,-124.93288,48.67709,0.393949,248.836754
K2:,-124.93288,48.67709,0.065017,255.168789
N2:,-124.93288,48.67709,0.176616,211.8851
M2:,-124.93288,48.67709,0.843213,235.852506
S2:,-124.93288,48.67709,0.247183,264.022285
O1:,-124.936226,48.68106,0.248329,232.41471
P1:,-124.936226,48.68106,0.125385,244.410275
Q1:,-124.936226,48.68106,0.043695,222.468975
K1:,-124.936226,48.68106,0.393331,248.90415
K2:,-124.936226,48.68106,0.065053,255.13369
N2:,-124.936226,48.68106,0.176712,211.811253
M2:,-124.936226,48.68106,0.843805,235.782416
S2:,-124.936226,48.68106,0.247352,263.96405
O1:,-124.93957,48.68503,0.248137,232.471029
P1:,-124.93957,48.68503,0.125216,244.475367
Q1:,-124.93957,48.68503,0.043658,222.51458
K1:,-124.93957,48.68503,0.392782,248.972969
K2:,-124.93957,48.68503,0.065088,255.098696
N2:,-124.93957,48.68503,0.17681,211.737874
M2:,-124.93957,48.68503,0.844403,235.712939
S2:,-124.93957,48.68503,0.247522,263.906348
O1:,-124.94291,48.689003,0.247936,232.547339
P1:,-124.94291,48.689003,0.125019,244.558232
Q1:,-124.94291,48.689003,0.04362,222.577896
K1:,-124.94291,48.689003,0.392147,249.059366
K2:,-124.94291,48.689003,0.065126,255.059315
N2:,-124.94291,48.689003,0.176899,211.663901
M2:,-124.94291,48.689003,0.844964,235.642566
S2:,-124.94291,48.689003,0.247682,263.84739
O1:,-124.94625,48.692974,0.247727,232.639169
P1:,-124.94625,48.692974,0.1248,244.654938
Q1:,-124.94625,48.692974,0.04358,222.654955
K1:,-124.94625,48.692974,0.391443,249.15945
K2:,-124.94625,48.692974,0.065165,255.016547
N2:,-124.94625,48.692974,0.176983,211.589533
M2:,-124.94625,48.692974,0.845499,235.571571
S2:,-124.94625,48.692974,0.247835,263.787516
